A2A S.P.A.,1,90,5273314,low,2/4/2010,2,4,201
PARCHI VAL DI CORNIA SPA,2,7063,5064154,low,8/3/2009,8,3,200
HERA SPA - QUOTA E-R (dal 2013),3,6016,4813729,low,11/12/2009,11,12,200
IREN - Quota Emilia Romagna ( gia' IREN SPA ),4,6166,3627115,low,3/11/2010,3,11,201
ACEA S.P.A.,5,112,3216557,low,10/12/2009,10,12,200
AZIENDA TRASPORTI MILANESI S.P.A. IN FORMA ABBREVIATA A.T.M. S .P.A.,6,908,1201738,low,6/30/2009,6,30,200
DOLOMITI ENERGIA SOCIETA' PER AZIONI IN SIGLA DOLOMITI ENERGIA S.P.A. OVVERO D.E. S.P.A.,7,5255,1170248,low,9/24/2009,9,24,200
PUBLICONTROLLI S.R.L,8,7311,1031462,low,10/29/2009,10,29,200
Azienda per Trasporti Autoferrotranviari del Comune di Roma S.p.a.,9,830,1002123,low,11/16/2009,11,16,200
ESTRA ENERGIE S.R.L.,10,5407,960468,low,10/28/2009,10,28,200
FCT HOLDING S.R.L.,11,5567,927222,low,11/2/2009,11,2,200
ASCO HOLDING S.P.A.,12,481,895171,low,11/2/2009,11,2,200
AZIENDA GENERALE SERVIZI MUNICIPALI DI VERONA S.P.A - IN FORMA ABBREVIATA AGSM VERONA S.P.A.,13,765,886783,low,11/2/2009,11,2,200
SO.RE.SA. S.p.A.,14,7717,873970,low,11/2/2009,11,2,200
AZIENDA MUNICIPALE AMBIENTE S.P.A. ROMA IN FORMA ABBREVIATA AMA S.P.A,15,792,843709,low,10/28/2009,10,28,200
AZIENDA ENERGETICA S.P.A. - ETSCHWERKE AG SIGLA AE SPA-EW AG,11,751,753492,low,11/2/2009,11,2,200
A4 HOLDING S.P.A.,17,91,622344,low,11/13/2009,11,13,200
SOCIETA' PER AZIONI ESERCIZI AEROPORTUALI S.E.A.,18,7841,603681,low,11/1/2009,11,1,200
SOCIETA' PER LA REALIZZAZIONE DELLE METROPOLITANE DELLA CITTA' DIROMA A R.L. IN FORMA ABBREVIATA ROMA METROPOLITANE S.R.L.,19,7855,580401,low,3/24/2010,3,24,201
ACQUEDOTTO PUGLIESE S.P.A.,20,148,525526,low,10/29/2009,10,29,200
SOCIETA' PER AZIONI AUTOSTRADA DEL BRENNERO IN SIGLA AUTOBRENNERO SPA O AUTOSTRADA DEL BRENNERO S.P.A. DENOMINAZIONE TEDESCA BRENNERAUTOBAHN A.G.,21,7838,405377,low,11/4/2009,11,4,200
VENEZIANA ENERGIA RISORSE IDRICHE TERRITORIO AMBIENTE SERVIZI - V .E.R.I.T.A.S. S.P.A.,22,8390,388002,low,10/1/2008,10,1,200
SOCIETA' ELETTRICA ALTOATESINA PER AZIONI  IN BREVE SEL S.P.A.,23,7785,356092,low,10/30/2009,10,30,200
COMPAGNIA TRASPORTI LAZIALI SOCIETA' PER AZIONI IN FORMA ABBREVIATA CO.TRA.L. SPA,11,1635,353815,low,11/2/2009,11,2,200
ASSE AGENZIA PER LO SVILUPPO SOCIALE ED ECONOMICO,25,9945,342984,low,11/17/2009,11,17,200
A.T.E.R. del Comune di Roma,26,9284,319321,low,5/13/2009,5,13,200
AZIENDE INDUSTRIALI MUNICIPALI VICENZA S.P.A.,27,932,316909,low,3/1/2008,3,1,200
COMPAGNIA VALDOSTANA DELLE ACQUE - COMPAGNIE VALDOTAINE DES EAUX. S.P.A. SIGLABILE C.V.A. S.P.A.,28,1637,311500,low,10/1/2009,10,1,200
AZIENDA ACQUE METROPOLITANE TORINO S.P.A.,29,727,309700,medium,4/30/2010,4,30,201
